activity_id,institution_id,source_id,experiment_id,frequency,modeling_realm,table_id,member_id,grid_label,variable_id,temporal_subset,chunk_freq,grid_label,platform,dimensions,cell_methods,path
dev,,am5,c96L65_am5f3b1r0_pdclim1850F,monthly,land_cmip,,,,fLuc,000301-000312,1yr,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/land_cmip/ts/monthly/1yr/land_cmip.000301-000312.fLuc.nc
dev,,am5,c96L65_am5f3b1r0_pdclim1850F,monthly,land_cmip,,,,fProductDecomp,000301-000312,1yr,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/land_cmip/ts/monthly/1yr/land_cmip.000301-000312.fProductDecomp.nc
dev,,am5,c96L65_am5f3b1r0_pdclim1850F,monthly,land_cmip,,,,gpp,000301-000312,1yr,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/land_cmip/ts/monthly/1yr/land_cmip.000301-000312.gpp.nc
dev,,am5,c96L65_am5f3b1r0_pdclim1850F,monthly,land_cmip,,,,grassFrac,000301-000312,1yr,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/land_cmip/ts/monthly/1yr/land_cmip.000301-000312.grassFrac.nc
dev,,am5,c96L65_am5f3b1r0_pdclim1850F,monthly,land_cmip,,,,hfdsn,000301-000312,1yr,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/land_cmip/ts/monthly/1yr/land_cmip.000301-000312.hfdsn.nc
dev,,am5,c96L65_am5f3b1r0_pdclim1850F,monthly,land_cmip,,,,lai,000301-000312,1yr,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/land_cmip/ts/monthly/1yr/land_cmip.000301-000312.lai.nc
dev,,am5,c96L65_am5f3b1r0_pdclim1850F,monthly,land_cmip,,,,mrfso,000301-000312,1yr,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/land_cmip/ts/monthly/1yr/land_cmip.000301-000312.mrfso.nc
dev,,am5,c96L65_am5f3b1r0_pdclim1850F,monthly,land_cmip,,,,mrlsl,000301-000312,1yr,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/land_cmip/ts/monthly/1yr/land_cmip.000301-000312.mrlsl.nc
dev,,am5,c96L65_am5f3b1r0_pdclim1850F,monthly,land_cmip,,,,mrro,000301-000312,1yr,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/land_cmip/ts/monthly/1yr/land_cmip.000301-000312.mrro.nc
dev,,am5,c96L65_am5f3b1r0_pdclim1850F,monthly,land_cmip,,,,mrros,000301-000312,1yr,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f3b1r0/c96L65_am5f3b1r0_pdclim1850F/gfdl.ncrc5-deploy-prod-openmp/pp/land_cmip/ts/monthly/1yr/land_cmip.000301-000312.mrros.nc
